complaint_id,category,subcategory,description,incident_date,date_reported,district,district_code,area,pincode,user_address,status,resolution_time,severity
1576,Water Supply,Pipeline Leakage,"In Kanpur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. Even after assurances from the authorities, nothing has changed.",2019-11-07,2020-03-13,Kanpur,UP02,Area 5,224000,"22, Colony Road, Area 5, Kanpur, 224000",Resolved,20.0,Medium
1577,Public Transport,Overcrowded Buses,"Public buses in Aligarh are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? Other residents in my locality are also facing similar issues.",2024-03-22,2024-08-03,Aligarh,UP12,Area 3,273762,"101, Colony Road, Area 3, Aligarh, 273762",In Progress,,Low
1578,Road Maintenance,Potholes,"I commute daily in Rampur, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! Even after assurances from the authorities, nothing has changed.",2023-04-27,2023-10-14,Rampur,UP18,Area 1,205261,"44, Bazaar Road, Area 1, Rampur, 205261",In Progress,,Medium
1579,Corruption,Land Registration Scam,"As a contractor in Noida, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! Children and elderly people are severely affected due to this issue.",2016-10-23,2017-03-25,Noida,UP10,Area 5,249298,"27, Bazaar Road, Area 5, Noida, 249298",In Progress,,Low
1580,Road Maintenance,Unfinished Roadwork,"I commute daily in Noida, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! The local authorities visited once but didn't resolve the issue.",2016-05-30,2016-11-26,Noida,UP10,Area 5,223889,"72, Bazaar Road, Area 5, Noida, 223889",In Progress,,Medium
1581,Road Maintenance,Potholes,"As a taxi driver in Varanasi, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. Even after assurances from the authorities, nothing has changed.",2016-04-23,2016-07-21,Varanasi,UP03,Area 2,227133,"2, Bazaar Road, Area 2, Varanasi, 227133",Pending,,High
1582,Water Supply,Contaminated Water,"I am a resident of Agra, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. The local authorities visited once but didn't resolve the issue.",2020-11-02,2021-01-05,Agra,UP06,Area 4,217007,"151, Bazaar Road, Area 4, Agra, 217007",Resolved,49.0,Low
1583,Electricity Issue,Meter Fault,"As a shop owner in Lucknow, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. Despite multiple complaints, no action has been taken.",2018-07-25,2018-09-17,Lucknow,UP01,Area 1,242447,"41, Bazaar Road, Area 1, Lucknow, 242447",Pending,,Low
1584,Water Supply,No Water Supply,"In Kanpur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. The situation is worsening each day, and we need urgent help.",2023-11-24,2023-12-01,Kanpur,UP02,Area 1,294800,"1, Bazaar Road, Area 1, Kanpur, 294800",Pending,,Medium
1585,Crime,Robbery,"There have been multiple thefts in our colony in Ghaziabad in the last month. People are scared, and yet there is no police patrolling. Even after assurances from the authorities, nothing has changed.",2024-12-03,2025-01-17,Ghaziabad,UP11,Area 1,236020,"12, Bazaar Road, Area 1, Ghaziabad, 236020",In Progress,,High
1586,Road Maintenance,Road Safety Issues,"The main road connecting our village to Ghaziabad city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. We demand an immediate resolution before things get worse.",2023-11-07,2024-01-25,Ghaziabad,UP11,Area 1,288842,"9, Colony Road, Area 1, Ghaziabad, 288842",Resolved,8.0,Medium
1587,Public Transport,Fare Overcharging,"As a college student in Meerut, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. Even after assurances from the authorities, nothing has changed.",2023-09-05,2023-09-15,Meerut,UP07,Area 3,236378,"148, Bazaar Road, Area 3, Meerut, 236378",Pending,,High
1588,Corruption,Favoritism in Govt Services,"As a contractor in Aligarh, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! Even after assurances from the authorities, nothing has changed.",2019-04-03,2019-06-09,Aligarh,UP12,Area 3,227270,"161, Colony Road, Area 3, Aligarh, 227270",In Progress,,Low
1589,Public Transport,Fare Overcharging,I missed an important job interview because the bus from Lucknow to the city was canceled last minute. We need better transport reliability! This problem has been ongoing for months with no proper solution.,2018-07-06,2018-09-06,Lucknow,UP01,Area 2,225512,"187, Bazaar Road, Area 2, Lucknow, 225512",Resolved,44.0,Medium
1590,Electricity Issue,Voltage Fluctuation,"As a shop owner in Bareilly, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. The local authorities visited once but didn't resolve the issue.",2022-10-19,2023-02-25,Bareilly,UP08,Area 1,215597,"126, Colony Road, Area 1, Bareilly, 215597",In Progress,,Low
1591,Road Maintenance,Blocked Drainage,"I commute daily in Varanasi, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! This problem has been ongoing for months with no proper solution.",2021-04-21,2021-05-26,Varanasi,UP03,Area 4,244825,"162, Colony Road, Area 4, Varanasi, 244825",Resolved,33.0,Low
1592,Corruption,Bribery,"In Kanpur, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Even after assurances from the authorities, nothing has changed.",2018-12-30,2019-05-28,Kanpur,UP02,Area 4,208161,"180, Bazaar Road, Area 4, Kanpur, 208161",In Progress,,Medium
1593,Public Transport,Overcrowded Buses,"As a college student in Firozabad, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. People have started protesting due to this persistent problem.",2016-03-09,2016-03-27,Firozabad,UP15,Area 2,227886,"169, Colony Road, Area 2, Firozabad, 227886",Resolved,13.0,Low
1594,Public Transport,Fare Overcharging,"As a college student in Bareilly, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. Despite multiple complaints, no action has been taken.",2020-07-21,2020-10-13,Bareilly,UP08,Area 4,203352,"102, Main Street, Area 4, Bareilly, 203352",Resolved,48.0,High
1595,Water Supply,Contaminated Water,"We haven't had running water in Mathura for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Despite multiple complaints, no action has been taken.",2023-10-20,2024-02-06,Mathura,UP17,Area 2,222783,"46, Main Street, Area 2, Mathura, 222783",Pending,,High
1596,Electricity Issue,Billing Issue,"I live in Noida, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? We demand an immediate resolution before things get worse.",2015-08-20,2016-01-28,Noida,UP10,Area 1,227670,"111, Colony Road, Area 1, Noida, 227670",Resolved,23.0,Medium
1597,Corruption,Favoritism in Govt Services,"In Varanasi, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. The situation is worsening each day, and we need urgent help.",2019-10-29,2019-12-23,Varanasi,UP03,Area 5,225983,"148, Main Street, Area 5, Varanasi, 225983",In Progress,,Medium
1598,Electricity Issue,Power Outage,"I live in Basti, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? Despite multiple complaints, no action has been taken.",2016-08-30,2016-12-10,Basti,UP20,Area 5,296420,"162, Bazaar Road, Area 5, Basti, 296420",Resolved,55.0,High
1599,Water Supply,Contaminated Water,We haven't had running water in Allahabad for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Children and elderly people are severely affected due to this issue.,2018-06-19,2018-07-02,Allahabad,UP04,Area 2,225863,"195, Main Street, Area 2, Allahabad, 225863",In Progress,,Low
1600,Water Supply,Low Pressure,"In Rampur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. Even after assurances from the authorities, nothing has changed.",2014-06-08,2014-10-26,Rampur,UP18,Area 3,208798,"164, Main Street, Area 3, Rampur, 208798",In Progress,,Low
1601,Corruption,Favoritism in Govt Services,"In Rampur, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Even after assurances from the authorities, nothing has changed.",2020-09-04,2021-02-20,Rampur,UP18,Area 2,226609,"16, Bazaar Road, Area 2, Rampur, 226609",In Progress,,Medium
1602,Public Transport,Irregular Metro Services,"As a college student in Kanpur, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The local news channel even covered this issue, yet no action.",2016-04-07,2016-07-21,Kanpur,UP02,Area 5,236077,"129, Main Street, Area 5, Kanpur, 236077",In Progress,,Low
1603,Road Maintenance,Road Safety Issues,"The main road connecting our village to Lucknow city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. We demand an immediate resolution before things get worse.",2018-10-06,2019-03-08,Lucknow,UP01,Area 2,233354,"181, Colony Road, Area 2, Lucknow, 233354",Resolved,33.0,Low
1604,Crime,Robbery,"Cyber fraud is rampant in Moradabad. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. The situation is worsening each day, and we need urgent help.",2024-02-20,2024-03-06,Moradabad,UP13,Area 1,267578,"36, Bazaar Road, Area 1, Moradabad, 267578",In Progress,,High
1605,Crime,Robbery,"There have been multiple thefts in our colony in Muzaffarnagar in the last month. People are scared, and yet there is no police patrolling. The local news channel even covered this issue, yet no action.",2021-08-28,2021-12-05,Muzaffarnagar,UP19,Area 2,270196,"145, Colony Road, Area 2, Muzaffarnagar, 270196",Pending,,Low
1606,Public Transport,Overcrowded Buses,"I missed an important job interview because the bus from Faizabad to the city was canceled last minute. We need better transport reliability! Despite multiple complaints, no action has been taken.",2017-04-17,2017-07-19,Faizabad,UP14,Area 2,202081,"80, Main Street, Area 2, Faizabad, 202081",Resolved,47.0,Low
1607,Public Transport,Fare Overcharging,I missed an important job interview because the bus from Basti to the city was canceled last minute. We need better transport reliability! We demand an immediate resolution before things get worse.,2021-05-02,2021-08-08,Basti,UP20,Area 4,200116,"145, Main Street, Area 4, Basti, 200116",Pending,,Medium
1608,Water Supply,Low Pressure,"I am a resident of Rampur, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. The local authorities visited once but didn't resolve the issue.",2022-05-23,2022-09-07,Rampur,UP18,Area 5,204506,"69, Colony Road, Area 5, Rampur, 204506",In Progress,,High
1609,Electricity Issue,Voltage Fluctuation,"In Jhansi, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. Even after assurances from the authorities, nothing has changed.",2016-05-01,2016-05-07,Jhansi,UP09,Area 5,253174,"9, Main Street, Area 5, Jhansi, 253174",In Progress,,Medium
1610,Corruption,Favoritism in Govt Services,"As a contractor in Ghaziabad, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! The local authorities visited once but didn't resolve the issue.",2014-08-22,2015-02-10,Ghaziabad,UP11,Area 2,295038,"70, Colony Road, Area 2, Ghaziabad, 295038",Resolved,10.0,Medium
1611,Crime,Robbery,"Cyber fraud is rampant in Firozabad. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. We demand an immediate resolution before things get worse.",2018-08-02,2018-12-15,Firozabad,UP15,Area 2,238501,"13, Main Street, Area 2, Firozabad, 238501",Resolved,34.0,Low
1612,Electricity Issue,Power Outage,"As a shop owner in Basti, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. Even after assurances from the authorities, nothing has changed.",2023-05-26,2023-10-22,Basti,UP20,Area 3,236221,"23, Bazaar Road, Area 3, Basti, 236221",In Progress,,Low
1613,Water Supply,No Water Supply,"In Saharanpur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. The local news channel even covered this issue, yet no action.",2022-10-12,2023-04-03,Saharanpur,UP16,Area 2,214396,"132, Bazaar Road, Area 2, Saharanpur, 214396",Resolved,54.0,Low
1614,Electricity Issue,Voltage Fluctuation,"In Noida, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. The local news channel even covered this issue, yet no action.",2023-06-08,2023-08-25,Noida,UP10,Area 1,266325,"176, Bazaar Road, Area 1, Noida, 266325",Pending,,High
1615,Public Transport,Overcrowded Buses,"I missed an important job interview because the bus from Meerut to the city was canceled last minute. We need better transport reliability! Even after assurances from the authorities, nothing has changed.",2017-08-25,2017-12-15,Meerut,UP07,Area 1,269757,"191, Main Street, Area 1, Meerut, 269757",In Progress,,High
1616,Crime,Cyber Crime,Chain snatching is increasing in Firozabad. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Children and elderly people are severely affected due to this issue.,2017-09-01,2017-12-03,Firozabad,UP15,Area 1,228059,"12, Main Street, Area 1, Firozabad, 228059",Pending,,Low
1617,Road Maintenance,Road Safety Issues,"The main road connecting our village to Varanasi city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. Other residents in my locality are also facing similar issues.",2014-01-20,2014-07-15,Varanasi,UP03,Area 5,236303,"122, Bazaar Road, Area 5, Varanasi, 236303",Resolved,46.0,High
1618,Electricity Issue,Billing Issue,"As a shop owner in Lucknow, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. Other residents in my locality are also facing similar issues.",2023-12-28,2024-02-11,Lucknow,UP01,Area 3,299682,"36, Main Street, Area 3, Lucknow, 299682",Resolved,3.0,Low
1619,Public Transport,Irregular Metro Services,"Public buses in Noida are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? People have started protesting due to this persistent problem.",2019-01-15,2019-05-03,Noida,UP10,Area 4,217443,"68, Bazaar Road, Area 4, Noida, 217443",Resolved,37.0,Medium
1620,Electricity Issue,Meter Fault,"I live in Jhansi, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? The local authorities visited once but didn't resolve the issue.",2017-05-10,2017-06-30,Jhansi,UP09,Area 2,283155,"139, Bazaar Road, Area 2, Jhansi, 283155",Resolved,29.0,Medium
1621,Public Transport,Overcrowded Buses,"Public buses in Agra are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? This problem has been ongoing for months with no proper solution.",2022-03-17,2022-08-19,Agra,UP06,Area 5,216879,"36, Colony Road, Area 5, Agra, 216879",Resolved,13.0,Medium
1622,Water Supply,Pipeline Leakage,We haven't had running water in Agra for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? This problem has been ongoing for months with no proper solution.,2017-02-18,2017-04-15,Agra,UP06,Area 3,209919,"74, Bazaar Road, Area 3, Agra, 209919",Resolved,55.0,Low
1623,Corruption,Fraud in Public Distribution,"In Basti, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Other residents in my locality are also facing similar issues.",2016-12-22,2017-06-08,Basti,UP20,Area 1,219100,"171, Colony Road, Area 1, Basti, 219100",Pending,,High
1624,Crime,Theft,"There have been multiple thefts in our colony in Lucknow in the last month. People are scared, and yet there is no police patrolling. Despite multiple complaints, no action has been taken.",2017-04-21,2017-05-24,Lucknow,UP01,Area 4,274674,"116, Bazaar Road, Area 4, Lucknow, 274674",In Progress,,High
1625,Electricity Issue,Voltage Fluctuation,"I live in Mathura, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? This problem has been ongoing for months with no proper solution.",2020-12-27,2021-04-20,Mathura,UP17,Area 4,208366,"72, Main Street, Area 4, Mathura, 208366",In Progress,,Low
1626,Corruption,Land Registration Scam,"As a contractor in Faizabad, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! The situation is worsening each day, and we need urgent help.",2020-01-17,2020-01-23,Faizabad,UP14,Area 4,225664,"116, Bazaar Road, Area 4, Faizabad, 225664",In Progress,,High
1627,Public Transport,Overcrowded Buses,I missed an important job interview because the bus from Basti to the city was canceled last minute. We need better transport reliability! People have started protesting due to this persistent problem.,2022-10-22,2023-03-10,Basti,UP20,Area 1,214299,"104, Main Street, Area 1, Basti, 214299",Pending,,Medium
1628,Crime,Theft,"Cyber fraud is rampant in Allahabad. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. The situation is worsening each day, and we need urgent help.",2019-10-11,2019-12-05,Allahabad,UP04,Area 2,237219,"74, Main Street, Area 2, Allahabad, 237219",In Progress,,High
1629,Public Transport,Fare Overcharging,"As a college student in Allahabad, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The local news channel even covered this issue, yet no action.",2021-06-24,2021-08-16,Allahabad,UP04,Area 5,255682,"200, Main Street, Area 5, Allahabad, 255682",Resolved,44.0,Low
1630,Electricity Issue,Voltage Fluctuation,"As a shop owner in Varanasi, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. The situation is worsening each day, and we need urgent help.",2020-04-15,2020-10-02,Varanasi,UP03,Area 2,230722,"171, Colony Road, Area 2, Varanasi, 230722",Resolved,59.0,Low
1631,Crime,Cyber Crime,"Cyber fraud is rampant in Jhansi. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. The local news channel even covered this issue, yet no action.",2021-12-01,2022-05-04,Jhansi,UP09,Area 1,281794,"181, Main Street, Area 1, Jhansi, 281794",Pending,,High
1632,Water Supply,Pipeline Leakage,"I am a resident of Noida, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. This problem has been ongoing for months with no proper solution.",2014-04-23,2014-08-04,Noida,UP10,Area 2,277918,"114, Bazaar Road, Area 2, Noida, 277918",Resolved,13.0,Medium
1633,Corruption,Favoritism in Govt Services,I had to pay a bribe of ₹2000 to get my land documents processed in Meerut. Why should honest citizens have to pay extra just to get their rights? This problem has been ongoing for months with no proper solution.,2017-03-03,2017-05-03,Meerut,UP07,Area 2,282710,"116, Main Street, Area 2, Meerut, 282710",Resolved,13.0,Low
1634,Corruption,Land Registration Scam,I had to pay a bribe of ₹2000 to get my land documents processed in Kanpur. Why should honest citizens have to pay extra just to get their rights? This problem has been ongoing for months with no proper solution.,2015-06-07,2015-10-21,Kanpur,UP02,Area 2,201084,"128, Colony Road, Area 2, Kanpur, 201084",Resolved,54.0,Medium
1635,Corruption,Favoritism in Govt Services,"In Bareilly, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. We demand an immediate resolution before things get worse.",2019-12-14,2020-01-08,Bareilly,UP08,Area 1,268030,"171, Main Street, Area 1, Bareilly, 268030",Resolved,40.0,Medium
1636,Corruption,Land Registration Scam,"As a contractor in Gorakhpur, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! Other residents in my locality are also facing similar issues.",2017-05-25,2017-09-15,Gorakhpur,UP05,Area 2,287784,"109, Main Street, Area 2, Gorakhpur, 287784",Pending,,High
1637,Corruption,Fraud in Public Distribution,"In Gorakhpur, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Other residents in my locality are also facing similar issues.",2014-03-01,2014-05-23,Gorakhpur,UP05,Area 3,242294,"83, Main Street, Area 3, Gorakhpur, 242294",Pending,,Low
1638,Public Transport,Overcrowded Buses,"Public buses in Jhansi are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? The situation is worsening each day, and we need urgent help.",2021-04-26,2021-04-26,Jhansi,UP09,Area 4,298630,"160, Bazaar Road, Area 4, Jhansi, 298630",Pending,,Medium
1639,Crime,Theft,"There have been multiple thefts in our colony in Moradabad in the last month. People are scared, and yet there is no police patrolling. The situation is worsening each day, and we need urgent help.",2021-07-19,2021-12-26,Moradabad,UP13,Area 2,243854,"95, Colony Road, Area 2, Moradabad, 243854",In Progress,,Low
1640,Corruption,Bribery,"As a contractor in Noida, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! The local authorities visited once but didn't resolve the issue.",2019-08-14,2019-10-19,Noida,UP10,Area 2,259215,"74, Colony Road, Area 2, Noida, 259215",In Progress,,Medium
1641,Electricity Issue,Billing Issue,"In Kanpur, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. Even after assurances from the authorities, nothing has changed.",2017-03-22,2017-07-23,Kanpur,UP02,Area 2,267364,"56, Bazaar Road, Area 2, Kanpur, 267364",Pending,,Medium
1642,Corruption,Fraud in Public Distribution,"In Lucknow, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. Other residents in my locality are also facing similar issues.",2019-01-17,2019-05-17,Lucknow,UP01,Area 5,228189,"6, Bazaar Road, Area 5, Lucknow, 228189",Resolved,56.0,Medium
1643,Crime,Cyber Crime,"There have been multiple thefts in our colony in Rampur in the last month. People are scared, and yet there is no police patrolling. The situation is worsening each day, and we need urgent help.",2022-07-05,2022-07-20,Rampur,UP18,Area 5,210474,"31, Main Street, Area 5, Rampur, 210474",Pending,,High
1644,Public Transport,Fare Overcharging,"As a college student in Aligarh, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. People have started protesting due to this persistent problem.",2023-07-28,2023-09-20,Aligarh,UP12,Area 4,254407,"134, Colony Road, Area 4, Aligarh, 254407",Resolved,23.0,Low
1645,Public Transport,Fare Overcharging,"Public buses in Agra are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? Despite multiple complaints, no action has been taken.",2023-08-22,2023-09-13,Agra,UP06,Area 1,283393,"73, Bazaar Road, Area 1, Agra, 283393",Pending,,High
1646,Public Transport,Irregular Metro Services,"Public buses in Faizabad are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? The situation is worsening each day, and we need urgent help.",2015-02-28,2015-06-25,Faizabad,UP14,Area 5,213198,"12, Main Street, Area 5, Faizabad, 213198",Pending,,Medium
1647,Crime,Theft,Chain snatching is increasing in Mathura. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Children and elderly people are severely affected due to this issue.,2019-07-30,2019-11-13,Mathura,UP17,Area 4,256805,"83, Main Street, Area 4, Mathura, 256805",In Progress,,Low
1648,Public Transport,Fare Overcharging,"Public buses in Moradabad are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? People have started protesting due to this persistent problem.",2023-11-15,2024-03-16,Moradabad,UP13,Area 5,204545,"117, Main Street, Area 5, Moradabad, 204545",Resolved,56.0,Medium
1649,Public Transport,Overcrowded Buses,I missed an important job interview because the bus from Aligarh to the city was canceled last minute. We need better transport reliability! People have started protesting due to this persistent problem.,2018-02-21,2018-06-18,Aligarh,UP12,Area 4,256013,"166, Main Street, Area 4, Aligarh, 256013",Resolved,47.0,Low
1650,Public Transport,Overcrowded Buses,"As a college student in Lucknow, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. We demand an immediate resolution before things get worse.",2023-09-23,2024-02-13,Lucknow,UP01,Area 3,219871,"28, Main Street, Area 3, Lucknow, 219871",Pending,,High
1651,Public Transport,Poor Bus Condition,"As a college student in Rampur, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. Despite multiple complaints, no action has been taken.",2023-09-07,2023-10-08,Rampur,UP18,Area 2,250594,"192, Colony Road, Area 2, Rampur, 250594",In Progress,,High
1652,Crime,Theft,"Cyber fraud is rampant in Noida. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. This problem has been ongoing for months with no proper solution.",2021-05-16,2021-08-18,Noida,UP10,Area 1,297401,"17, Colony Road, Area 1, Noida, 297401",In Progress,,High
1653,Crime,Cyber Crime,"Chain snatching is increasing in Moradabad. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Even after assurances from the authorities, nothing has changed.",2014-09-17,2015-02-21,Moradabad,UP13,Area 1,288822,"15, Colony Road, Area 1, Moradabad, 288822",Resolved,60.0,Low
1654,Crime,Robbery,"Cyber fraud is rampant in Saharanpur. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. This problem has been ongoing for months with no proper solution.",2017-10-28,2017-12-09,Saharanpur,UP16,Area 5,261420,"129, Main Street, Area 5, Saharanpur, 261420",In Progress,,High
1655,Crime,Chain Snatching,Chain snatching is increasing in Mathura. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. We demand an immediate resolution before things get worse.,2017-05-18,2017-05-30,Mathura,UP17,Area 5,232887,"183, Bazaar Road, Area 5, Mathura, 232887",Pending,,Low
1656,Crime,Cyber Crime,"Chain snatching is increasing in Jhansi. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Even after assurances from the authorities, nothing has changed.",2015-03-16,2015-06-15,Jhansi,UP09,Area 1,276163,"136, Main Street, Area 1, Jhansi, 276163",Pending,,Medium
1657,Crime,Robbery,"Cyber fraud is rampant in Lucknow. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. The local authorities visited once but didn't resolve the issue.",2022-04-10,2022-07-21,Lucknow,UP01,Area 2,249088,"133, Colony Road, Area 2, Lucknow, 249088",Resolved,50.0,High
1658,Public Transport,Overcrowded Buses,"Public buses in Faizabad are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? Other residents in my locality are also facing similar issues.",2022-09-10,2022-11-12,Faizabad,UP14,Area 4,237994,"24, Main Street, Area 4, Faizabad, 237994",Resolved,59.0,Low
1659,Public Transport,Poor Bus Condition,I missed an important job interview because the bus from Gorakhpur to the city was canceled last minute. We need better transport reliability! This problem has been ongoing for months with no proper solution.,2016-05-01,2016-09-24,Gorakhpur,UP05,Area 1,285394,"125, Main Street, Area 1, Gorakhpur, 285394",Pending,,Low
1660,Crime,Chain Snatching,"Cyber fraud is rampant in Meerut. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. Despite multiple complaints, no action has been taken.",2023-08-18,2024-01-05,Meerut,UP07,Area 3,246806,"72, Colony Road, Area 3, Meerut, 246806",Resolved,11.0,Low
1661,Road Maintenance,Potholes,"The main road connecting our village to Allahabad city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. People have started protesting due to this persistent problem.",2020-09-07,2021-02-24,Allahabad,UP04,Area 5,275301,"91, Main Street, Area 5, Allahabad, 275301",Pending,,Medium
1662,Electricity Issue,Power Outage,"I live in Mathura, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? We demand an immediate resolution before things get worse.",2017-06-19,2017-08-18,Mathura,UP17,Area 1,263732,"1, Colony Road, Area 1, Mathura, 263732",Pending,,Low
1663,Corruption,Favoritism in Govt Services,"As a contractor in Moradabad, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! Children and elderly people are severely affected due to this issue.",2017-08-10,2017-12-20,Moradabad,UP13,Area 5,232628,"15, Bazaar Road, Area 5, Moradabad, 232628",Pending,,Medium
1664,Water Supply,Contaminated Water,"I am a resident of Meerut, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. Despite multiple complaints, no action has been taken.",2024-04-06,2024-04-22,Meerut,UP07,Area 5,254286,"145, Bazaar Road, Area 5, Meerut, 254286",Pending,,Low
1665,Water Supply,No Water Supply,"In Lucknow, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. Even after assurances from the authorities, nothing has changed.",2015-05-05,2015-07-05,Lucknow,UP01,Area 5,284752,"47, Bazaar Road, Area 5, Lucknow, 284752",Resolved,59.0,High
1666,Crime,Theft,"There have been multiple thefts in our colony in Gorakhpur in the last month. People are scared, and yet there is no police patrolling. Even after assurances from the authorities, nothing has changed.",2022-06-08,2022-07-20,Gorakhpur,UP05,Area 4,256280,"188, Bazaar Road, Area 4, Gorakhpur, 256280",Pending,,Medium
